#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
40	ᎠᏲ!	ayo		hla; uyoi	Ouch!	
	ᎣᏍᏓ.	osda		vv; howa	Good. Well.	
	ᎣᏍᏛ.	osdv	osda	vv; howa	Good. Well.	
	ᎤᏲᎢ.	uyoi		hla; ayo	Bad. Poor. Evil.	
	ᎥᎥ.	vv		osda; howa	Yes.	
	ᎥᏍᎩᎩ?	vsgigi			Really?	
	Ꮭ.	hla		uyoi; ayo	No.	
	ᎰᏩ.	howa		vv; osda	Okay. Alright. Fine. You’re welcome.	
	Ꮒ!	ni			Look!	
	ᏣᎳᎩ.	jalagi			Cherokee.	
	ᏩᏙ.	wado			Thanks!	
	ᏲᏁᎦ.	yonega			English.	
	ᎣᏏᏲ.	osiyo			Hello.	
	ᏴᏭᏁᎦ.	yvwunega	yonega		English.	
						
50	ᎦᏙ ᎤᏍᏗ?	gado-usdi			Which one?	
	ᎯᎳ ᎢᎦ?	hila-iga			How many (inanimate)?	
	ᎯᎳ ᎢᏯᏂ?	hila-iyani			How many (animate)?	
	ᏌᏊ.	sagwu			One.	
	ᏔᎵ.	tali			Two (inanimate).	
	ᎠᏂᏔᎵ.	anitali			Two (animate).	
	ᏦᎢ.	joi			Three (inanimate).	
	ᎠᏂᏦᎢ.	anijoi			Three (animate).	
	ᏅᎩ.	nvgi			Four.	
	ᎯᏍᎩ.	hisgi			Five.	
	ᏑᏓᎵ.	sudali			Six.	
	ᎦᎵᏉᎩ.	galgwogi			Seven.	
	ᎢᎬᏱᎢ.	igvyii			First. The front-most place.	
	ᎠᏂᏔᎵᏁᎢ.	anitalinei			Second (animate).	
	ᏔᎵᏁᎢ.	talinei			Second (inanimate).	
	ᎠᏂᏦᎢᏁᎢ.	anijoinei			Third (animate).	
	ᏦᎢᏁᎢ.	joinei			Third (inanimate).	
	ᏅᎩᏁᎢ.	nvginei			Fourth.	
	ᎯᏍᎩᏁᎢ.	hisginei			Fifth.	
	ᏑᏓᎵᏁᎢ.	sudalinei			Sixth.	
	ᎦᎵᏉᎩᏁᎢ.	galgwoginei			Seventh.	
						
60	ᎿᏛᎦ.	hnadvga			You one, do it.	
	ᏂᏔᏛᎦ.	nitadvga			You one, do them.	
	ᏘᎪᎵᏯ.	tigoliya			You one, read them.	
	ᎰᏪᎸᎦ.	hohwelvga			You one, write it.	
	ᏙᏪᎸᎦ.	tohwelvga			You one, write them.	
						
	ᎠᎨᏯ.	agehya		agehya	A woman.	
	ᎠᏂᎨᏯ.	anigehya		anigehya	Women.	
	ᎠᏂᏍᎦᏯ.	anisgaya		anisgaya	Men.	
	ᎠᏂᏔᎵ ᎠᏂᎨᏯ.	anitali-anigehya		anigehya	Two women.	
	ᎠᏂᏔᎵ ᎠᏂᎨᏯ ᎠᎴ ᏔᎵ ᏄᎾ.	anitali-anigehya-ale-tali-nuna		anigehya	Two women and two potatoes.	
	ᎠᏂᏔᎵ ᎠᏂᎨᏯ ᏃᎴ ᏦᎢ ᏄᎾ.	anitali-anigehya-nole-joi-nuna		anigehya	Two women and three potatoes.	
	ᎠᏂᏔᎵ ᎠᏂᏍᎦᏯ.	anitali-anisgaya		anisgaya	Two men.	
	ᎠᏂᏔᎵ ᎩᏟ.	anitali-gihli		gihli	Two dogs.	
	ᎠᏂᏔᎵ ᏪᏌ.	anitali-wesa		wesa	Two cats.	
	ᎠᏂᏦᎢ ᎠᏂᎨᏯ.	anijoi-anigehya		anigehya	Three women.	
	ᎠᏂᏦᎢ ᎠᏂᏍᎦᏯ.	anijoi-anisgaya		anisgaya	Three men.	
	ᎠᏂᏦᎢ ᎠᏂᏍᎦᏯ ᏃᎴ ᏔᎵ ᏄᎾ.	anijoi-anisgaya-nole-tali-nuna		anisgaya	Three men and two potatoes.	
	ᎠᏍᎦᏯ.	asgaya		asgaya	A man.	
	ᎦᏙ ᎤᎾᏍᏗ ᏓᎪᏩᏘᎭ?	gado-unsdi-dagowhtiha		dagowhtiha	What all (animate) does he/she see?	
	ᎦᏙ ᎤᎾᏍᏗ ᏓᏂᎪᏩᏘᎭ?	gado-unsdi-danigowhtiha		danigowhtiha	What all (animate) do they see?	
	ᎦᏙ ᏧᏍᏗ ᏓᎪᏩᏘᎭ?				What all (inanimate) does he/she see?	skipped by accident
	ᎦᏙ ᏧᏍᏗ ᏓᏂᎪᏩᏘᎭ?				What all (inanimate) do they see?	skipped by accident
	ᎦᏙ ᎤᎾᏍᏗ?	gado-unsdi			What all (animate)?	
	ᎦᏙ ᎤᏍᏗ ᎠᎪᏩᏘᎭ?	gado-usdi-agowhtiha		agowhtiha	What does he/she see?	
	ᎦᏙ ᎤᏍᏗ ᎠᏂᎪᏩᏘᎭ?	gado-usdi-anigowhtiha		anigowhtiha	What does he/she see?	
	ᎩᏟ.	gihli		gihli	A dog. Dogs.	
	ᏄᎾ.	nuna		nuna	A potato. Potatoes.	
	ᏄᎾ ᎠᎴ ᏅᏯ.	nuna-ale-nvya		nuna	A potato or potatoes and a rock or rocks.	
	ᏄᎾ ᏃᎴ ᏅᏯ.	nuna-nole-nvya	nuna-ale-nvya	nuna	A potato or potatoes and a rock or rocks.	
	ᏅᏯ.	nvya		nvya	A rock. Rocks.	
	ᏌᏊ ᎠᎨᏯ.	sagwu-agehya		agehya	One woman.	
	ᏌᏊ ᎠᎨᏯ ᎠᎴ ᏌᏊ ᏅᏯ.	sagwu-agehya-ale-sagwu-nvya		agehya	One woman and one rock.	
	ᏌᏊ ᎠᎨᏯ ᎠᎴ ᏌᏊ ᏪᏌ.	sagwu-agehya-ale-sagwu-wesa		agehya	One woman and one cat.	
	ᏌᏊ ᎠᎨᏯ ᏃᎴ ᏌᏊ ᏄᎾ.	sagwu-agehya-nole-sagwu-nuna		agehya	One woman and one potato.	
	ᏌᏊ ᎠᏍᎦᏯ.	sagwu-asgaya		asgaya	One man.	
	ᏌᏊ ᎠᏍᎦᏯ ᏃᎴ ᏌᏊ ᎩᏟ.	sagwu-asgaya-nole-sagwu-gihli		asgaya	One man and one dog.	
	ᏌᏊ ᎠᏍᎦᏯ ᏃᎴ ᏌᏊ ᏄᎾ.	sagwu-asgaya-nole-sagwu-nuna		asgaya	One man and one potato.	
	ᏌᏊ ᎩᏟ.	sagwu-gihli		gihli	One dog.	
	ᏌᏊ ᏄᎾ.	sagwu-nuna		nuna	One potato.	
	ᏌᏊ ᏅᏯ.	sagwu-nvya		nvya	One rock.	
	ᏌᏊ ᏪᏌ.	sagwu-wesa		wesa	One cat.	
	ᏔᎵ ᏄᎾ.	tali-nuna		nuna	Two potatoes.	
	ᏦᎢ ᏄᎾ.	joi-nuna		nuna	Three potatoes.	
	ᏦᎢ ᏅᏯ.	joi-nvya		nvya	Three rocks.	
	ᏪᏌ.	wesa		wesa	A cat. Cats.	
	ᏪᏌ ᎠᎴ ᎩᏟ.	wesa-ale-gihli		wesa	A cat or cats and a dog or dogs.	
	ᏪᏌ ᎠᎴ ᏅᏯ.	wesa-ale-nvya		wesa	A cat or cats and a rock or rocks.	
	ᏪᏌ ᏃᎴ ᎩᏟ.	wesa-nole-gihli	wesa-ale-gihli	wesa	A cat or cats and a dog or dogs.	
	ᏪᏌ ᏃᎴ ᏅᏯ.	wesa-nole-nvya	wesa-ale-nvya	wesa	A cat or cats and a rock or rocks.	
						
61	ᎠᎪᏩᏘᎭ.	agowhtiha		agowhtiha	He, she sees him, it.	
	ᎠᏂᎪᏩᏘᎭ.	anigowhtiha		anigowhtiha	They see him, it.	
	ᎩᏟ ᎠᎪᏩᏘᎭ.	gihli-agowhtiha		agowhtiha	A dog, he or she sees it.	
	ᎩᏟ ᎠᏂᎪᏩᏘᎭ.	gihli-anigowhtiha		anigowhtiha	A dog, they see it.	
	ᎩᏟ ᏓᎪᏩᏘᎭ.	gihli-dagowhtiha		dagowhtiha	Dogs, he or she sees them.	
	ᎩᏟ ᏓᏂᎪᏩᏘᎭ.	gihli-danigowhtiha		danigowhtiha	Dogs, they see them.	
	ᏄᎾ ᎠᎪᏩᏘᎭ.	nuna-agowhtiha		agowhtiha	A potato, he or she sees it.	
	ᏄᎾ ᎠᏂᎪᏩᏘᎭ.	nuna-anigowhtiha		anigowhtiha	A potato, they see it.	
	ᏄᎾ ᏓᎪᏩᏘᎭ.	nuna-dagowhtiha		dagowhtiha	Potatoes, he or she sees them.	
	ᏄᎾ ᏓᏂᎪᏩᏘᎭ.	nuna-danigowhtiha		danigowhtiha	Potatoes, they see them.	
	ᏅᏯ ᎠᎪᏩᏘᎭ.	nvya-agowhtiha		agowhtiha	A rock, he or she sees it.	
	ᏅᏯ ᎠᏂᎪᏩᏘᎭ.	nvya-anigowhtiha		anigowhtiha	A rock, they see it.	
	ᏅᏯ ᏓᎪᏩᏘᎭ.	nvya-dagowhtiha		dagowhtiha	Rocks, he or see sees them.	
	ᏅᏯ ᏓᏂᎪᏩᏘᎭ.	nvya-danigowhtiha		danigowhtiha	Rocks, they see them.	
	ᏓᎪᏩᏘᎭ.	dagowhtiha		dagowhtiha	He, she sees them.	
	ᏓᏂᎪᏩᏘᎭ.	danigowhtiha		danigowhtiha	They see them.	
