#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	XXX	NOTES
40	ᎠᏲ!	ayo		hla; uyoi		
	ᎣᏍᏓ.	osda		vv; howa		
	ᎣᏍᏛ.	osdv	osda	vv; howa		
	ᎤᏲᎢ.	uyoi		hla; ayo		
	ᎥᎥ.	vv		osda; howa		
	ᎥᏍᎩᎩ?	vsgigi				
	Ꮭ.	hla		uyoi; ayo		
	ᎰᏩ.	howa		vv; osda		
	Ꮒ!	ni				
	ᏣᎳᎩ.	jalagi				
	ᏩᏙ.	wado				
	ᏲᏁᎦ.	yonega				
	ᎣᏏᏲ.	osiyo				
	ᏴᏭᏁᎦ.	yvwunega	yonega			
						
50	ᎦᏙ ᎤᏍᏗ?	gado-usdi				
	ᎯᎳ ᎢᎦ?	hila-iga				
	ᎯᎳ ᎢᏯᏂ?	hila-iyani				
	ᏌᏊ.	sagwu				
	ᏔᎵ.	tali				
	ᎠᏂᏔᎵ.	anitali				
	ᏦᎢ.	joi				
	ᎠᏂᏦᎢ.	anijoi				
	ᏅᎩ.	nvgi				
	ᎯᏍᎩ.	hisgi				
	ᏑᏓᎵ.	sudali				
	ᎦᎵᏉᎩ.	galgwogi				
	ᎢᎬᏱᎢ.	igvyii				
	ᎠᏂᏔᎵᏁᎢ.	anitalinei				
	ᏔᎵᏁᎢ.	talinei				
	ᎠᏂᏦᎢᏁᎢ.	anijoinei				
	ᏦᎢᏁᎢ.	joinei				
	ᏅᎩᏁᎢ.	nvginei				
	ᎯᏍᎩᏁᎢ.	hisginei				
	ᏑᏓᎵᏁᎢ.	sudalinei				
	ᎦᎵᏉᎩᏁᎢ.	galgwoginei				
						
60	ᎿᏛᎦ.	hnadvga				
	ᏂᏔᏛᎦ.	nitadvga				
	ᏘᎪᎵᏯ.	tigoliya				
	ᎰᏪᎸᎦ.	hohwelvga				
	ᏙᏪᎸᎦ.	tohwelvga				
						
	ᎠᎨᏯ.	agehya		agehya		
	ᎠᏂᎨᏯ.	anigehya		anigehya		
	ᎠᏂᏍᎦᏯ.	anisgaya		anisgaya		
	ᎠᏂᏔᎵ ᎠᏂᎨᏯ.	anitali-anigehya		anigehya		
	ᎠᏂᏔᎵ ᎠᏂᎨᏯ ᎠᎴ ᏔᎵ ᏄᎾ.	anitali-anigehya-ale-tali-nuna		anigehya		
	ᎠᏂᏔᎵ ᎠᏂᎨᏯ ᏃᎴ ᏦᎢ ᏄᎾ.	anitali-anigehya-nole-joi-nuna		anigehya		
	ᎠᏂᏔᎵ ᎠᏂᏍᎦᏯ.	anitali-anisgaya		anisgaya		
	ᎠᏂᏔᎵ ᎩᏟ.	anitali-gihli		gihli		
	ᎠᏂᏔᎵ ᏪᏌ.	anitali-wesa		wesa		
	ᎠᏂᏦᎢ ᎠᏂᎨᏯ.	anijoi-anigehya		anigehya		
	ᎠᏂᏦᎢ ᎠᏂᏍᎦᏯ.	anijoi-anisgaya		anisgaya		
	ᎠᏂᏦᎢ ᎠᏂᏍᎦᏯ ᏃᎴ ᏔᎵ ᏄᎾ.	anijoi-anisgaya-nole-tali-nuna		anisgaya		
	ᎠᏍᎦᏯ.	asgaya		asgaya		
	ᎦᏙ ᎤᎾᏍᏗ ᏓᎪᏩᏘᎭ?	gado-unsdi-dagowhtiha		dagowhtiha		
	ᎦᏙ ᎤᎾᏍᏗ ᏓᏂᎪᏩᏘᎭ?	gado-unsdi-danigowhtiha		danigowhtiha		
	ᎦᏙ ᎤᎾᏍᏗ?	gado-unsdi				
	ᎦᏙ ᎤᏍᏗ ᎠᎪᏩᏘᎭ?	gado-usdi-agowhtiha		agowhtiha		
	ᎦᏙ ᎤᏍᏗ ᎠᏂᎪᏩᏘᎭ?	gado-usdi-anigowhtiha		anigowhtiha		
	ᎩᏟ.	gihli		gihli		
	ᏄᎾ.	nuna		nuna		
	ᏄᎾ ᎠᎴ ᏅᏯ.	nuna-ale-nvya		nuna		
	ᏄᎾ ᏃᎴ ᏅᏯ.	nuna-nole-nvya	nuna-ale-nvya	nuna		
	ᏅᏯ.	nvya		nvya		
	ᏌᏊ ᎠᎨᏯ.	sagwu-agehya		agehya		
	ᏌᏊ ᎠᎨᏯ ᎠᎴ ᏌᏊ ᏅᏯ.	sagwu-agehya-ale-sagwu-nvya		agehya		
	ᏌᏊ ᎠᎨᏯ ᎠᎴ ᏌᏊ ᏪᏌ.	sagwu-agehya-ale-sagwu-wesa		agehya		
	ᏌᏊ ᎠᎨᏯ ᏃᎴ ᏌᏊ ᏄᎾ.	sagwu-agehya-nole-sagwu-nuna		agehya		
	ᏌᏊ ᎠᏍᎦᏯ.	sagwu-asgaya		asgaya		
